date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_deaths,class
2020-02-23,France,all,12,,,,
2020-02-23,Germany,all,16,,,,
2020-02-23,India,all,3,,,,
2020-02-23,Iran,all,28,,,,
2020-02-23,Israel,all,1,,,,
2020-02-23,Italy,all,76,,,,
2020-02-23,Japan,all,132,,,,
2020-02-23,Lebanon,all,1,,,,
2020-02-23,Malaysia,all,22,,,,
2020-02-23,Nepal,all,1,,,,
2020-02-23,Philippines,all,3,,,,
2020-02-23,Russia,all,2,,,,
2020-02-23,Singapore,all,89,,,,
2020-02-23,South Korea,all,602,,,,
2020-02-23,Spain,all,2,,,,
2020-02-23,Sri Lanka,all,1,,,,
2020-02-23,Sweden,all,1,,,,
2020-02-23,Thailand,all,35,,,,
2020-02-23,UK,all,9,,,,
2020-02-23,United Arab Emirates,all,13,,,,
2020-02-23,USA,all,35,,,,
2020-02-23,Vietnam,all,16,,,,
2020-02-24,Australia,all,22,,,,
2020-02-24,Belgium,all,1,,,,
2020-02-24,Cambodia,all,1,,,,
2020-02-24,Canada,all,9,,,,
2020-02-24,Egypt,all,1,,,,
2020-02-24,Finland,all,1,,,,
2020-02-24,France,all,12,,,,
2020-02-24,Germany,all,16,,,,
2020-02-24,India,all,3,,,,
2020-02-24,Iran,all,43,,,,
2020-02-24,Israel,all,1,,,,
2020-02-24,Italy,all,124,,,,
2020-02-24,Japan,all,144,,,,
2020-02-24,Kuwait,all,3,,,,
2020-02-24,Lebanon,all,1,,,,
2020-02-24,Malaysia,all,22,,,,
2020-02-24,Nepal,all,1,,,,
2020-02-24,Philippines,all,3,,,,
2020-02-24,Russia,all,2,,,,
2020-02-24,Singapore,all,89,,,,
2020-02-24,South Korea,all,763,,,,
2020-02-24,Spain,all,2,,,,
