date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,population_E4,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-02-09,China,Gansu,81,,,,,2637,,,,
2020-02-09,China,Guangdong,1120,,,,,11346,,,,
2020-02-09,China,Guangxi,195,,,,,4926,,,,
2020-02-09,China,Guizhou,96,,,,,3600,,,,
2020-02-09,China,Hainan,128,,,,,934,,,,
2020-02-09,China,Hebei,206,,,,,7556,,,,
2020-02-09,China,Heilongjiang,307,,,,,3773,,,,
2020-02-09,China,Henan,1033,,,,,9605,,,,
2020-02-09,China,Hong Kong SAR,26,,,,,745,,,,
2020-02-09,China,Hubei,27100,,,,,5917,,,,
2020-02-09,China,Hunan,838,,,,,6899,,,,
2020-02-09,China,Inner Mongolia,54,,,,,2534,,,,
2020-02-09,China,Jiangsu,468,,,,,8051,,,,
2020-02-09,China,Jiangxi,740,,,,,4648,,,,
2020-02-09,China,Jilin,78,,,,,2704,,,,
2020-02-09,China,Liaoning,105,,,,,4359,,,,
2020-02-09,China,Macao SAR,10,,,,,66,,,,
2020-02-09,China,Ningxia,45,,,,,688,,,,
2020-02-09,China,Qinghai,18,,,,,603,,,,
2020-02-09,China,Shaanxi,208,,,,,3864,,,,
2020-02-09,China,Shandong,435,,,,,10047,,,,
2020-02-09,China,Shanghai,292,,,,,2424,,,,
2020-02-09,China,Shanxi,115,,,,,3718,,,,
2020-02-09,China,Sichuan,386,,,,,8341,,,,
2020-02-09,China,Taiwan,17,,,,,2359,,,,
2020-02-09,China,Tianjin,88,,,,,1560,,,,
2020-02-09,China,Xinjiang,45,,,,,2487,,,,
2020-02-09,China,Xizang,1,,,,,344,,,,
2020-02-09,China,Yunnan,140,,,,,4830,,,,
2020-02-09,China,Zhejiang,1075,,,,,5737,,,,
2020-02-10,China,all,40235,,,,,142823,,,,
2020-02-10,China,Anhui,830,,,,,6324,,,,
2020-02-10,China,Beijing,337,,,,,2154,,,,
2020-02-10,China,Chongqing,468,,,,,3102,,,,
2020-02-10,China,Fujian,261,,,,,3941,,,,
2020-02-10,China,Gansu,85,,,,,2637,,,,
2020-02-10,China,Guangdong,1151,,,,,11346,,,,
2020-02-10,China,Guangxi,210,,,,,4926,,,,
2020-02-10,China,Guizhou,109,,,,,3600,,,,
2020-02-10,China,Hainan,136,,,,,934,,,,
2020-02-10,China,Hebei,218,,,,,7556,,,,
2020-02-10,China,Heilongjiang,331,,,,,3773,,,,
2020-02-10,China,Henan,1073,,,,,9605,,,,
2020-02-10,China,Hong Kong SAR,36,,,,,745,,,,
2020-02-10,China,Hubei,29631,,,,,5917,,,,
2020-02-10,China,Hunan,879,,,,,6899,,,,
2020-02-10,China,Inner Mongolia,58,,,,,2534,,,,
2020-02-10,China,Jiangsu,492,,,,,8051,,,,
2020-02-10,China,Jiangxi,771,,,,,4648,,,,
2020-02-10,China,Jilin,80,,,,,2704,,,,
2020-02-10,China,Liaoning,107,,,,,4359,,,,
2020-02-10,China,Macao SAR,10,,,,,66,,,,
2020-02-10,China,Ningxia,49,,,,,688,,,,
2020-02-10,China,Qinghai,18,,,,,603,,,,
2020-02-10,China,Shaanxi,213,,,,,3864,,,,
2020-02-10,China,Shandong,459,,,,,10047,,,,
2020-02-10,China,Shanghai,295,,,,,2424,,,,
2020-02-10,China,Shanxi,119,,,,,3718,,,,
2020-02-10,China,Sichuan,405,,,,,8341,,,,
2020-02-10,China,Taiwan,18,,,,,2359,,,,
2020-02-10,China,Tianjin,91,,,,,1560,,,,
2020-02-10,China,Xinjiang,49,,,,,2487,,,,
2020-02-10,China,Xizang,1,,,,,344,,,,
2020-02-10,China,Yunnan,141,,,,,4830,,,,
2020-02-10,China,Zhejiang,1104,,,,,5737,,,,
2020-02-11,China,all,42708,,,,,142823,,,,
2020-02-11,China,Anhui,860,,,,,6324,,,,
2020-02-11,China,Beijing,342,,,,,2154,,,,
2020-02-11,China,Chongqing,486,,,,,3102,,,,
2020-02-11,China,Fujian,267,,,,,3941,,,,
2020-02-11,China,Gansu,86,,,,,2637,,,,
2020-02-11,China,Guangdong,1177,,,,,11346,,,,
2020-02-11,China,Guangxi,215,,,,,4926,,,,
2020-02-11,China,Guizhou,118,,,,,3600,,,,
2020-02-11,China,Hainan,142,,,,,934,,,,
2020-02-11,China,Hebei,239,,,,,7556,,,,
2020-02-11,China,Heilongjiang,360,,,,,3773,,,,
2020-02-11,China,Henan,1105,,,,,9605,,,,
2020-02-11,China,Hong Kong SAR,42,,,,,745,,,,
2020-02-11,China,Hubei,31728,,,,,5917,,,,
2020-02-11,China,Hunan,912,,,,,6899,,,,
2020-02-11,China,Inner Mongolia,58,,,,,2534,,,,
2020-02-11,China,Jiangsu,515,,,,,8051,,,,
2020-02-11,China,Jiangxi,804,,,,,4648,,,,
2020-02-11,China,Jilin,81,,,,,2704,,,,
2020-02-11,China,Liaoning,108,,,,,4359,,,,
2020-02-11,China,Macao SAR,10,,,,,66,,,,
2020-02-11,China,Ningxia,53,,,,,688,,,,
2020-02-11,China,Qinghai,18,,,,,603,,,,
2020-02-11,China,Shaanxi,219,,,,,3864,,,,
2020-02-11,China,Shandong,486,,,,,10047,,,,
