date,country,adm,population_E4,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-02-10,China,Xinjiang,2487,49,,,,,,,,
2020-02-10,China,Xizang,344,1,,,,,,,,
2020-02-10,China,Yunnan,4830,141,,,,,,,,
2020-02-10,China,Zhejiang,5737,1104,,,,,,,,
2020-02-11,China,Anhui,6324,860,,,,,,,,
2020-02-11,China,Beijing,2154,342,,,,,,,,
2020-02-11,China,Chongqing,3102,486,,,,,,,,
2020-02-11,China,Fujian,3941,267,,,,,,,,
2020-02-11,China,Gansu,2637,86,,,,,,,,
2020-02-11,China,Guangdong,11346,1177,,,,,,,,
2020-02-11,China,Guangxi,4926,215,,,,,,,,
2020-02-11,China,Guizhou,3600,118,,,,,,,,
2020-02-11,China,Hainan,934,142,,,,,,,,
2020-02-11,China,Hebei,7556,239,,,,,,,,
2020-02-11,China,Heilongjiang,3773,360,,,,,,,,
2020-02-11,China,Henan,9605,1105,,,,,,,,
2020-02-11,China,Hong Kong SAR,745,42,,,,,,,,
2020-02-11,China,Hubei,5917,31728,,,,,,,,
2020-02-11,China,Hunan,6899,912,,,,,,,,
2020-02-11,China,Inner Mongolia,2534,58,,,,,,,,
2020-02-11,China,Jiangsu,8051,515,,,,,,,,
2020-02-11,China,Jiangxi,4648,804,,,,,,,,
2020-02-11,China,Jilin,2704,81,,,,,,,,
2020-02-11,China,Liaoning,4359,108,,,,,,,,
2020-02-11,China,Macao SAR,66,10,,,,,,,,
2020-02-11,China,Ningxia,688,53,,,,,,,,
2020-02-11,China,Qinghai,603,18,,,,,,,,
2020-02-11,China,Shaanxi,3864,219,,,,,,,,
2020-02-11,China,Shandong,10047,486,,,,,,,,
2020-02-11,China,Shanghai,2424,302,,,,,,,,
2020-02-11,China,Shanxi,3718,122,,,,,,,,
2020-02-11,China,Sichuan,8341,417,,,,,,,,
2020-02-11,China,Taiwan,2359,18,,,,,,,,
2020-02-11,China,Tianjin,1560,96,,,,,,,,
2020-02-11,China,Xinjiang,2487,55,,,,,,,,
2020-02-11,China,Xizang,344,1,,,,,,,,
2020-02-11,China,Yunnan,4830,149,,,,,,,,
2020-02-11,China,Zhejiang,5737,1117,,,,,,,,
2020-02-12,China,Anhui,6324,889,,,,,,,,
2020-02-12,China,Beijing,2154,352,,,,,,,,
2020-02-12,China,Chongqing,3102,505,,,,,,,,
2020-02-12,China,Fujian,3941,272,,,,,,,,
2020-02-12,China,Gansu,2637,86,,,,,,,,
2020-02-12,China,Guangdong,11346,1219,,,,,,,,
2020-02-12,China,Guangxi,4926,222,,,,,,,,
2020-02-12,China,Guizhou,3600,131,,,,,,,,
